ip_name,type,n,k,symbol_width,lut,ff,bram,dsp
rs_dec_15_11_4b,dec,15,11,4,225,273,0.5,0
rs_dec_15_9_4b,dec,15,9,4,259,306,0.5,0
rs_dec_31_23_5b,dec,31,23,5,343,404,0.5,0
rs_dec_31_27_5b,dec,31,27,5,272,312,0.5,0
rs_dec_63_53_6b,dec,63,53,6,436,509,0.5,0
rs_dec_63_55_6b,dec,63,55,6,400,459,0.5,0
rs_dec_7_5_4b,dec,7,5,4,210,220,0,0
rs_enc_127_117_7b,enc,127,117,7,106,137,0,0
rs_enc_15_11_4b,enc,15,11,4,47,71,0,0
rs_enc_15_9_4b,enc,15,9,4,50,79,0,0
rs_enc_31_23_5b,enc,31,23,5,67,99,0,0
rs_enc_31_27_5b,enc,31,27,5,53,79,0,0
rs_enc_63_53_6b,enc,63,53,6,97,123,0,0
rs_enc_63_55_6b,enc,63,55,6,85,111,0,0
rs_enc_7_5_4b,enc,7,5,4,35,62,0,0
